action,dest,file,final_size,method,original_size,reason,reduction_pct,success,type
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 203/STRENGTH OF METERIAL R.K. RAJPUT.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 203/STRENGTH OF METERIAL R.K. RAJPUT.pdf,2984,ghostscript,219634241,,99.99864137759832,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 221/Electrical Circuit Theory & Technology - 5th Edition - John Bird.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 221/Electrical Circuit Theory & Technology - 5th Edition - John Bird.pdf,6761496,ghostscript,6761496,,0.0,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 221/Electrical Circuit Theory & Technology - 5th Edition - John Bird/Electrical Circuit Theory & Technology - 5th Edition - John Bird.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 221/Electrical Circuit Theory & Technology - 5th Edition - John Bird/Electrical Circuit Theory & Technology - 5th Edition - John Bird.pdf,6761496,ghostscript,6761496,,0.0,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 203/Strength of Materials by RS Khurmi.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 203/Strength of Materials by RS Khurmi.pdf,35954326,ghostscript,35954326,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 223/INTRODUCTION_TO_COMPUTER_APPLICATION.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 223/INTRODUCTION_TO_COMPUTER_APPLICATION.pdf,763204,ghostscript,874207,,12.697564764409341,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/drawing 5.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/drawing 5.pdf,738212,ghostscript,738212,,0.0,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 221/fundamentals-of-electrical-engineering_3.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 221/fundamentals-of-electrical-engineering_3.pdf,13747672,ghostscript,13747672,,0.0,True,pdf
skipped_small,,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing web.pdf,138950,,138950,,,True,pdf
copied_original,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/Engineering drawing/drawing 5.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/Engineering drawing/drawing 5.pdf,738212,ghostscript,738212,,0.0,True,pdf
compressed,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/CLONE/200/1/ENG 231/drawing.pdf,/run/media/raregazetto/5ED89B35D89B0B03/SCHOOL/COMPILATION/200/1/ENG 231/drawing.pdf,16793887,ghostscript,21282959,,21.092330253514092,True,pdf
